"filename", "language", "JSON", "Dotenv", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "MS SQL", "HTML", "YAML", "comment", "blank", "total"
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\pages\legal\LegalHub.jsx", "JavaScript JSX", 0, 0, 0, 439, 0, 0, 0, 0, 0, 12, 11, 462
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\pages\legal\PrivacyPolicy.jsx", "JavaScript JSX", 0, 0, 0, 1031, 0, 0, 0, 0, 0, 20, 23, 1074
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\pages\legal\ReturnPolicy.jsx", "JavaScript JSX", 0, 0, 0, 846, 0, 0, 0, 0, 0, 15, 22, 883
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\pages\legal\ShippingPolicy.jsx", "JavaScript JSX", 0, 0, 0, 901, 0, 0, 0, 0, 0, 18, 22, 941
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\pages\legal\TermsOfService.jsx", "JavaScript JSX", 0, 0, 0, 1001, 0, 0, 0, 0, 0, 20, 23, 1044
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\services\addressService.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\services\api.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\services\authService.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\services\bookService.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\services\cartService.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\services\orderService.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\services\wishlistService.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 2, 10
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\store\authStore.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\store\cartStore.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 13, 16, 127
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\store\wishlistStore.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 8, 10, 63
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\utils\constants.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\utils\helpers.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\package-lock.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\.env", "Dotenv", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\package-lock.json", "JSON", 2107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2108
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\prisma\migrations\20260615042306_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 158, 0, 0, 35, 46, 239
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\prisma\migrations\20260617054420_add_google_auth\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 8, 2, 13
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\prisma\migrations\20260621170730_add_password_reset_otp\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\prisma\migrations\20260624024058_add_lat_lng_to_address\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 4
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\prisma\migrations\20260627133940_add_pending_user\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 3, 18
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\prisma\seed.js", "JavaScript", 0, 0, 156, 0, 0, 0, 0, 0, 0, 2, 5, 163
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\app.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 10, 64
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\config\db.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\config\passport.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 11, 9, 70
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\addressController.js", "JavaScript", 0, 0, 129, 0, 0, 0, 0, 0, 0, 9, 21, 159
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\adminController.js", "JavaScript", 0, 0, 302, 0, 0, 0, 0, 0, 0, 6, 36, 344
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\authController.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 26, 148
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\bookController.js", "JavaScript", 0, 0, 193, 0, 0, 0, 0, 0, 0, 8, 30, 231
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\cartController.js", "JavaScript", 0, 0, 118, 0, 0, 0, 0, 0, 0, 5, 24, 147
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\categoryController.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\orderController.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 0, 15, 23, 186
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\passwordResetController.js", "JavaScript", 0, 0, 158, 0, 0, 0, 0, 0, 0, 9, 33, 200
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\registerotpController.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 17, 29, 168
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\controllers\wishlistController.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 3, 12, 86
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\middlewares\authMiddleware.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\middlewares\rateLimiters.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 4, 49
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\routes\addressRoutes.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\routes\adminRoutes.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\routes\authRoutes.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 3, 44
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\routes\bookRoutes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\routes\cartRoutes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\routes\categoryRoutes.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\routes\orderRoutes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\routes\wishlistRoutes.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\server.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\services\emailService.js", "JavaScript", 0, 0, 213, 0, 0, 0, 0, 0, 0, 2, 10, 225
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\services\orderService.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\utils\hashids.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 4, 18
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\utils\helpers.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\src\utils\shipping.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 13, 8, 61
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\server\test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 5400, 27, 3294, 24864, 12562, 9, 179, 33, 8, 1532, 2443, 50351
